106505	Meptazinol (as meptazinol hydrochloride) 200 mg oral tablet
106505	meptazinol 200 MG Oral Tablet
106505	Product containing precisely meptazinol (as meptazinol hydrochloride) 200 milligram/1 each conventional release oral tablet (clinical drug)
250879	dextromoramide 5 MG Oral Tablet
250879	Product containing precisely dextromoramide 5 milligram/1 each conventional release oral tablet (clinical drug)
250880	dextromoramide 10 MG Oral Tablet
250880	Product containing precisely dextromoramide 10 milligram/1 each conventional release oral tablet (clinical drug)
251210	Meptazinol (as meptazinol hydrochloride) 100 mg/mL solution for injection
251210	meptazinol 100 MG/ML Injectable Solution
251210	Product containing precisely meptazinol (as meptazinol hydrochloride) 100 milligram/1 milliliter conventional release solution for injection (clinical drug)
